county,year,month,wildfire_acres
Imperial,2007.0,6.0,697.7774378523128
Imperial,2008.0,4.0,289.9370999999998
Imperial,2008.0,6.0,52.841640000000034
Imperial,2009.0,4.0,111.6097
Imperial,2011.0,5.0,192.43987282596905
Imperial,2011.0,6.0,35.895419999999994
Imperial,2012.0,6.0,142.10180000000045
Imperial,2012.0,8.0,30.276779999999984
Imperial,2013.0,4.0,261.72399999999993
Imperial,2015.0,10.0,2.154247
Imperial,2017.0,3.0,66.99863000000018
Imperial,2019.0,3.0,30.286389999999997
Inyo,2000.0,7.0,4907.750000000001
Inyo,2000.0,8.0,321.59980000000047
Inyo,2002.0,3.0,115.96850000000016
Inyo,2002.0,7.0,6583.692700000005
Inyo,2003.0,9.0,279.0999750183695
Inyo,2005.0,3.0,86.45296000000002
Inyo,2005.0,4.0,249.2337
Inyo,2005.0,7.0,15573.858427349061
Inyo,2005.0,9.0,31.796690000000144
Inyo,2006.0,6.0,4155.573199999998
Inyo,2006.0,7.0,11853.464349999998
Inyo,2007.0,4.0,2040.1362099999985
Inyo,2007.0,7.0,35169.25900000003
Inyo,2008.0,3.0,854.0096600000007
Inyo,2008.0,5.0,5961.845899737748
Inyo,2008.0,8.0,124.81939999999997
Inyo,2009.0,2.0,943.4479999999992
Inyo,2009.0,3.0,45.44855000000007
Inyo,2009.0,7.0,3095.5593699999995
Inyo,2010.0,7.0,79.72475467946812
Inyo,2010.0,8.0,127.52212999999993
Inyo,2011.0,3.0,1349.1402999999996
Inyo,2011.0,5.0,280.35539999999986
Inyo,2011.0,9.0,5799.841000000001
Inyo,2012.0,7.0,1135.3469999999998
Inyo,2012.0,8.0,449.5110250000002
Inyo,2013.0,1.0,13.568089999999993
Inyo,2013.0,2.0,406.8414999999999
Inyo,2013.0,5.0,15.239749999999992
Inyo,2014.0,4.0,113.41989999999987
Inyo,2014.0,8.0,18.15949
Inyo,2015.0,2.0,419.8937910358765
Inyo,2016.0,5.0,10.494220000000002
Inyo,2016.0,6.0,112.41752965384477
Inyo,2016.0,7.0,104.2134999999999
Inyo,2016.0,8.0,372.9369000000002
Inyo,2017.0,6.0,75.16343999999991
Inyo,2017.0,7.0,0.19625949999999998
Inyo,2017.0,9.0,26.99337999999998
Inyo,2018.0,2.0,2075.695999999999
Inyo,2018.0,4.0,1253.9249999999988
Inyo,2018.0,7.0,2942.354000000007
Inyo,2019.0,9.0,10267.629999999981
Kern,2000.0,6.0,397.3813400000001
Kern,2000.0,7.0,788.8645600000004
Kern,2000.0,8.0,6160.536999999989
Kern,2000.0,9.0,8.061542
Kern,2001.0,6.0,1726.5728000000001
